### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-newBatt-Fedora_videoNoSound_-_1.txt
# minimum_soc	:	30
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
01:37:20	 72.76%	04:26:00
01:37:30	 72.71%	04:25:51
01:37:40	 72.65%	04:24:48
01:37:50	 72.59%	04:24:34
01:38:00	 72.56%	04:23:01
01:38:10	 72.51%	04:27:06
01:38:20	 72.48%	04:27:58
01:38:30	 72.43%	04:32:11
01:38:40	 72.37%	04:34:15
01:38:50	 72.34%	04:36:08
01:39:00	 72.29%	04:36:14
01:39:10	 72.25%	04:32:47
01:39:20	 72.18%	04:28:44
01:39:30	 72.12%	04:28:08
01:39:40	 72.90%	04:28:09
01:39:50	 72.10%	04:29:13
01:40:00	 71.98%	04:28:13
01:40:10	 71.93%	04:25:53
01:40:20	 71.87%	04:23:30
01:40:30	 71.84%	04:21:48
01:40:40	 71.78%	04:21:35
01:40:50	 71.73%	04:19:20
01:41:00	 71.70%	04:19:55
01:41:10	 71.62%	04:20:03
01:41:20	 71.59%	04:23:02
01:41:30	 71.54%	04:25:36
01:41:40	 71.51%	04:30:15
01:41:50	 71.46%	04:33:12
01:42:00	 71.40%	04:33:11
01:42:10	 71.37%	04:32:12
01:42:20	 71.31%	04:28:53
01:42:30	 71.26%	04:28:12
01:42:40	 71.21%	04:26:38
01:42:50	 71.15%	04:25:07
01:43:00	 71.12%	04:24:34
01:43:10	 71.60%	04:25:23
01:43:20	 71.10%	04:22:15
01:43:30	 70.98%	04:23:13
01:43:40	 70.92%	04:19:40
01:43:50	 70.87%	04:19:23
01:44:00	 70.82%	04:19:01
01:44:10	 70.76%	04:17:38
01:44:20	 70.73%	04:15:51
01:44:30	 70.67%	04:18:23
01:44:40	 70.62%	04:22:48
01:44:50	 70.59%	04:25:58
01:45:00	 70.53%	04:28:07
01:45:10	 70.50%	04:32:17
01:45:20	 70.43%	04:29:12
01:45:30	 70.40%	04:26:01
01:45:40	 70.34%	04:25:51
01:45:50	 70.29%	04:22:37
01:46:00	 70.26%	04:22:27
01:46:10	 70.20%	04:21:28
01:46:20	 70.15%	04:22:21
01:46:30	 70.90%	04:19:08
01:46:40	 70.30%	04:18:01
01:46:50	 69.98%	04:17:05
01:47:00	 69.95%	04:16:22
01:47:10	 69.89%	04:14:51
