### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	Lenovo-Yoga-530-oldBatt-Fedora_videoNoSound_-_1.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
01:47:00	 38.79%	01:25:28
01:47:10	 38.71%	01:24:33
01:47:20	 38.60%	01:25:58
01:47:30	 38.50%	01:25:37
01:47:40	 38.42%	01:28:35
01:47:50	 38.32%	01:29:25
01:48:00	 38.21%	01:32:36
01:48:10	 38.15%	01:33:15
01:48:20	 38.60%	01:32:42
01:48:30	 37.96%	01:29:32
01:48:40	 37.86%	01:26:41
01:48:50	 37.78%	01:25:20
01:49:00	 37.67%	01:24:54
01:49:10	 37.57%	01:24:52
01:49:20	 37.49%	01:25:27
01:49:30	 37.39%	01:23:29
01:49:40	 37.29%	01:22:49
01:49:50	 37.20%	01:22:33
01:50:00	 37.10%	01:20:58
01:50:10	 37.00%	01:20:58
01:50:20	 36.90%	01:20:33
01:50:30	 36.82%	01:20:53
01:50:40	 36.71%	01:19:45
01:50:50	 36.61%	01:22:29
01:51:00	 36.53%	01:24:39
01:51:10	 36.42%	01:27:08
01:51:20	 36.32%	01:27:27
01:51:30	 36.27%	01:28:20
01:51:40	 36.17%	01:23:58
01:51:50	 36.70%	01:21:27
01:52:00	 35.97%	01:20:29
01:52:10	 35.89%	01:20:29
01:52:20	 35.78%	01:20:09
01:52:30	 35.68%	01:21:20
01:52:40	 35.60%	01:20:55
01:52:50	 35.50%	01:20:29
01:53:00	 35.40%	01:18:26
01:53:10	 35.31%	01:17:23
01:53:20	 35.21%	01:17:19
01:53:30	 35.11%	01:17:33
01:53:40	 35.20%	01:17:10
01:53:50	 34.92%	01:16:21
01:54:00	 34.82%	01:19:20
01:54:10	 34.72%	01:19:58
01:54:20	 34.60%	01:10:58
01:54:30	 34.50%	01:09:05
01:54:40	 34.40%	01:15:41
01:54:50	 34.35%	01:16:59
01:55:00	 34.21%	01:12:05
01:55:10	 34.11%	01:13:23
01:55:20	 34.30%	01:15:45
01:55:30	 33.92%	01:14:43
01:55:40	 33.84%	01:16:03
01:55:50	 33.74%	01:16:23
01:56:00	 33.64%	01:15:28
01:56:10	 33.54%	01:14:10
01:56:20	 33.45%	01:13:18
01:56:30	 33.35%	01:13:12
01:56:40	 33.25%	01:12:53
01:56:50	 33.15%	01:13:22
01:57:00	 33.70%	01:13:04
01:57:10	 32.96%	01:13:50
01:57:20	 32.86%	01:15:42
01:57:30	 32.78%	01:17:51
01:57:40	 32.71%	01:18:45
01:57:50	 32.61%	01:16:06
01:58:00	 32.54%	01:16:00
01:58:10	 32.46%	01:13:35
01:58:20	 32.35%	01:11:50
01:58:30	 32.27%	01:11:12
01:58:40	 32.17%	01:11:09
